PAGE URL,Product Title,Quantity,p_element,Brand,Flavour,Format,Nicotine,td_element,Strenght
https://prilla.com/us/bridge-nicotine-pouches/bridge-citrus-4mg,Bridge Citrus 4mg,20,"As soon as you open a can of Bridge Citrus 4 mg, you will be hit with an ultra-refreshing, zesty aroma that takes your mind to the summertime no matter what season it is! Place one under your lip, and this is where the fun begins. There are tart, sour citrus notes up front, and a satisfying sweetness in the background that balances the flavor to perfection. The nicotine content of this product is 4 mg/pouch or 8 mg/g, making it just right for a smooth, easy-going boost and ideal for newbies.",Bridge,Citrus,Slim,4  mg/pouch,Bridge Pouchworks,Light
https://prilla.com/us/bridge-nicotine-pouches/bridge-cool-mint-10mg,Bridge Cool Mint 10mg,20,"Bridge Cool Mint 10 mg offers experienced users an energizing, refreshing mint kick and a high-strength, 10 mg/pouch buzz. The flavor is natural, icy, and fresh, with just the right level of sweetness for good balance. You may notice the underside of your lip feeling numb, but do not be alarmed, as this is part of the experience and the freezing sensation enhances the overall intensity. Also, this product is all-white, so you do not need to worry about stained teeth or bad breath!",Bridge,Mint,Slim,10  mg/pouch,Bridge Pouchworks,
https://prilla.com/us/bridge-nicotine-pouches/bridge-cool-mint-15mg,Bridge Cool Mint 15mg,20,"Do you think you are ready to try one of the freshest, highest nicotine content tobacco-free products available in the USA? If so, meet Bridge Cool Mint 15 mg, which offers one of the most intense experiences on the market in both minty coolness and a stimulating buzz. You can expect waves of delicious, ice-cold flavor and an unforgettably fast-acting nicotine rush. Sound good?",Bridge,Mint,Slim,15  mg/pouch,Bridge Pouchworks,Extra Strong
https://prilla.com/us/bridge-nicotine-pouches/bridge-cool-mint-4mg,Bridge Cool Mint 4mg,20,"Nicotine and mint is an age-old combination, for good reasons, too! There is an excellent synergy between them, as the coolness of the mint intensifies the buzz. Bridge Cool Mint 4 mg offers this exact synergy with its ultra-fresh, energizing, natural mint flavor and 4 mg/pouch of pure, synthetic nicotine. The two ingredients are included in just the right amounts to complement each other perfectly, guaranteeing you a super-satisfying experience.",Bridge,Mint,Slim,4  mg/pouch,Bridge Pouchworks,Light
https://prilla.com/us/bridge-nicotine-pouches/bridge-original-10mg,Bridge Original 10mg,20,"Are you tired of sweet, minty, or fruity tastes and need to give your palate a breather? If so, Bridge Original 10 mg lets you do so without skipping the buzz by providing a fast-acting kick from 10 mg/pouch of clean, synthetic nicotine without any flavor.",Bridge,Unflavored,Slim,10  mg/pouch,Bridge Pouchworks,
https://prilla.com/us/bridge-nicotine-pouches/bridge-original-15mg,Bridge Original 15mg,20,"Bridge Original 15 mg is the perfect product for when you need a nicotine boost but do not fancy any flavor. It delivers one of the most intense kicks on the market with its high nicotine content that lands at a whopping 15 mg/pouch (30 mg/g)! So, as you have likely already guessed, this is a product for experienced users only.",Bridge,Unflavored,Slim,15  mg/pouch,Bridge Pouchworks,Extra Strong
https://prilla.com/us/bridge-nicotine-pouches/bridge-original-4mg,Bridge Original 4mg,20,"Whether you cannot find the right flavor for you, have burnt out on your favorite ones, or simply need a palate cleanser, Bridge Original 4 mg has just what you need - nicotine without flavor. As a result, you get the same discreet, satisfying, stain and spit-free experience that you are used to, without the distraction of added flavorings, making this product handy to have in your rotation as a go-to for when you crave a buzz but nothing else. Each pouch contains 4 mg of clean, synthetic nicotine, the perfect amount for newbies and subtle but satisfying, all-day use.",Bridge,Unflavored,Slim,4  mg/pouch,Bridge Pouchworks,Light
https://prilla.com/us/bridge-nicotine-pouches/bridge-spearmint-10mg,Bridge Spearmint 10mg,20,"Experience minty freshness and a powerful kick with Bridge Spearmint 10 mg, which offers a smooth, slightly sweet spearmint flavor and a strong nicotine content of 10 mg/pouch. It is the perfect product for the user that seeks an intense experience and a refreshing taste without the numbing effect of menthol or sharpness of peppermint.",Bridge,Mint,Slim,10  mg/pouch,Bridge Pouchworks,
https://prilla.com/us/bridge-nicotine-pouches/bridge-spearmint-15mg,Bridge Spearmint 15mg,20,"Bridge Spearmint 15 mg delivers a refreshing, smooth, and slightly sweet flavor of spearmint and an ultra-powerful kick. Its nicotine content lands at 15 mg/pouch (30 mg/g), making it one of the strongest pouches in the USA! As a result, it is best suited to experienced users that are familiar with the intensity of extra-strong products.",Bridge,Mint,Slim,15  mg/pouch,Bridge Pouchworks,Extra Strong
https://prilla.com/us/bridge-nicotine-pouches/bridge-spearmint-4mg,Bridge Spearmint 4mg,20,"If you are looking for a refreshing mint product but find many of them overpowering or too sharp, Bridge Spearmint 4 mg may be the perfect solution. It has a smooth, delicate spearmint flavor that begins with a burst of freshness and coolness and finishes with a lasting, satisfying sweetness. Like the taste, the strength is also gentle, as this product has a nicotine content of 4 mg/pouch.",Bridge,Mint,Slim,4  mg/pouch,Bridge Pouchworks,Light
https://prilla.com/us/bridge-nicotine-pouches/bridge-wintergreen-10mg,Bridge Wintergreen 10mg,20,"If you are craving the freshness of mint but would like to expand your flavor collection, wintergreen is an excellent alternative, especially that featured in Bridge Wintergreen 10 mg. It offers a delicious fusion of fresh, smooth wintergreen and intensely refreshing, cooling menthol. But, be prepared - because when the flavor releases alongside the 10 mg/pouch of high-purity, synthetic nicotine, a mind-blowing synergy occurs. Expect icy-cool waves of freshness under your lip and a super-stimulating buzz.",Bridge,Wintergreen,Slim,10  mg/pouch,Bridge Pouchworks,
https://prilla.com/us/bridge-nicotine-pouches/bridge-wintergreen-15mg,Bridge Wintergreen 15mg,20,"Bridge Wintergreen 15 mg is one of the strongest tobacco-free pouches available in the USA. It has a delightfully smooth, fresh, and natural wintergreen taste, enhanced in intensity with a touch of ice-cool menthol. Just moments after placing a pouch under your lip, you will experience a cascade of revitalizing flavor and a stimulating rush from the 15 mg of pure, synthetic nicotine. As you may have already gathered, this product is best suited to veteran users!",Bridge,Wintergreen,Slim,15  mg/pouch,Bridge Pouchworks,Extra Strong
https://prilla.com/us/bridge-nicotine-pouches/bridge-wintergreen-4mg,Bridge Wintergreen 4mg,20,"The taste of wintergreen is not everyone's cup of tea. But, if you are a fan of it and are looking for one of the most natural, accurate representations without any tobacco, Bridge Wintergreen 4 mg could be your new go-to product. It offers a delicious, clean, outdoorsy wintergreen flavor, bursting with freshness. And, to top things off, there is also menthol added for an extra cooling kick. The nicotine content is 4 mg/pouch, making this product suitable for all users.",Bridge,Wintergreen,Slim,4  mg/pouch,Bridge Pouchworks,Light
https://prilla.com/us/cinnamon-nicotine-pouches,Cinnamon Nicotine Pouches,,,,,,,,
https://prilla.com/us/citrus-nicotine-pouches,Citrus Nicotine Pouches,,,,,,,,
https://prilla.com/us/cookie-policy,Cookie Policy,,,,,,,,
https://prilla.com/us/coffee-nicotine-pouches,Coffee Nicotine Pouches,,,,,,,,
