ID,Product Name,Vendor Name,Vendor ID,Product URL,Link Status,Price 1 Pack,Price 3 Pack,Price 5 Pack,Price 10 Pack,Price 15 Pack,Price 20 Pack,Price 25 Pack,Price 30 Pack,Price 50 Pack,Price 100 Pack,Currency,Needs Currency Conversion,Price Status,Missing Packs
d68b95e6-3539-44f5-9e10-0de8f4cb6934,Kelly White Cucumber Mint Mini Normal,Northerner UK,46526,https://www.northerner.com/uk/kelly-white/kelly-white-cucumber-mint-mini-normal,OK,3.99,N/A,18.95,34.9,N/A,65.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 15pack; 25pack; 30pack; 50pack; 100pack
6c7ddd99-7ab9-4ef4-8fb3-75c429458629,On! Berry 3mg Mini,Northerner UK,46526,https://www.northerner.com/uk/on/on-berry-3mg-mini,OK,4.49,N/A,21.45,39.9,N/A,49.99,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 15pack; 25pack; 30pack; 50pack; 100pack
60bdf96c-9cf2-4ff8-b086-d1eb9132462e,Kelly White Hot Cherry Mini Strong,Northerner UK,46526,https://www.northerner.com/uk/kelly-white/kelly-white-hot-cherry-mini-strong,OK,3.99,N/A,18.95,34.9,N/A,65.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 15pack; 25pack; 30pack; 50pack; 100pack
e5b7a41d-c771-4894-9897-8686c71dcf4f,VID Cola Sour Slim Extra Strong Nicotine Pouches,Northerner UK,46526,https://www.northerner.com/uk/vid/vid-cola-sour-slim-extra-strong-nicotine-pouches,OK,3.19,N/A,14.95,26.9,N/A,49.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 15pack; 25pack; 30pack; 50pack; 100pack
97f62905-e1ef-4497-a746-d2a0a46d0622,Velo Wintry Watermelon 14mg,Northerner UK,46526,https://www.northerner.com/uk/velo/velo-wintry-watermelon-14mg,OK,4.99,12,22.45,37.9,N/A,49.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,15pack; 25pack; 30pack; 50pack; 100pack
da35da70-d7cd-4fd7-8f2c-21405c03fd1e,Nordic Spirit UK Zesty Pear Slim Strong,Northerner UK,46526,https://www.northerner.com/uk/nordic-spirit/nordic-spirit-uk-zesty-pear-slim-strong,OK,4.99,10,22.45,37.9,N/A,49.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,15pack; 25pack; 30pack; 50pack; 100pack
17bea36a-4185-4d12-a8df-91fe72cd56cf,No.8 Après Raspberry Liqorice Hypèr Strong,Northerner UK,46526,https://www.northerner.com/uk/apres/no-8-apres-raspberry-liqorice-hyper-strong,OK,3.99,N/A,18.95,34.9,N/A,65.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 15pack; 25pack; 30pack; 50pack; 100pack
567074cc-c6ed-49b6-8572-7b3e273f3c12,77 Nicotine Pouches Sour Bliss,Northerner UK,46526,https://www.northerner.com/uk/77-nicotine-pouches/77-nicotine-pouches-sour-bliss,OK,3.99,N/A,18.95,34.9,N/A,65.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 15pack; 25pack; 30pack; 50pack; 100pack
490c3331-5439-4b3a-842d-80d161171ea6,Klint Liquorice #1 Slim Normal Nicotine Pouches,Northerner UK,46526,https://www.northerner.com/uk/klint/klint-liquorice-1-slim-normal-nicotine-pouches,OK,4.49,N/A,21.45,39.9,N/A,75.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 15pack; 25pack; 30pack; 50pack; 100pack
f8979f5d-57db-4433-9238-06d167508610,No.5 Après Ice Tea Peach Slim Extra Strong Nicotine Pouches,Northerner UK,46526,https://www.northerner.com/uk/apres/no-5-apres-ice-tea-peach-slim-extra-strong-nicotine-pouches,OK,3.99,N/A,18.95,34.9,N/A,65.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 15pack; 25pack; 30pack; 50pack; 100pack
97dcb46a-e337-4b27-91cf-f50414f48b52,KUMA Cherry,Northerner UK,46526,https://www.northerner.com/uk/kuma/kuma-cherry,OK,3.99,N/A,18.95,34.9,N/A,65.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 15pack; 25pack; 30pack; 50pack; 100pack
beb0d413-b085-4fbf-8f68-4a10e500014a,ELF Nicotine Pouches Fantasy Orange 20mg,Northerner UK,46526,https://www.northerner.com/uk/elf-nicotine-pouches/elf-nicotine-pouches-fantasy-orange-20mg,OK,3.99,N/A,18.95,34.9,N/A,65.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 15pack; 25pack; 30pack; 50pack; 100pack
afc09fe8-1d2d-431f-ab3b-092b85a67a2c,Loop Hot Rhubarb Slim Strong Nicotine Pouches,Northerner UK,46526,https://www.northerner.com/uk/loop/loop-hot-rhubarb-slim-strong-nicotine-pouches,OK,3.99,N/A,18.95,34.9,N/A,65.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 15pack; 25pack; 30pack; 50pack; 100pack
f1a3b67e-dc87-416f-ab51-f51bba7d347c,Loop Red Chili Melon Slim Strong Nicotine Pouches,Northerner UK,46526,https://www.northerner.com/uk/loop/loop-red-chili-melon-slim-strong-nicotine-pouches,OK,3.99,N/A,18.95,34.9,N/A,65.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 15pack; 25pack; 30pack; 50pack; 100pack
1e6e8b57-4bab-4ef8-859a-97d86abe83fe,Skruf Superwhite Fresh Freeze Ultra,Northerner UK,46526,https://www.northerner.com/uk/skruf-super-white/skruf-superwhite-fresh-freeze-ultra-limited-edition,OK,4.49,N/A,21.45,39.9,N/A,75.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 15pack; 25pack; 30pack; 50pack; 100pack
0b0889ea-13d4-4a89-bcdf-13bc7dc6bcd1,Loop Strawberry Ice Strong Nicotine Pouches,Northerner UK,46526,https://www.northerner.com/uk/loop/loop-strawberry-ice-strong-nicotine-pouches,OK,3.99,N/A,18.95,34.9,N/A,65.8,N/A,N/A,N/A,N/A,GBP,No,MISSING_15PACK,3pack; 15pack; 25pack; 30pack; 50pack; 100pack
