ID,Name,Price,Sale Price,SKU,Stock Status,Image Filename,Image URL
67043,"Apres Very Berry","0","","SKU-APRES-VERY-BERRY","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Apres_Very_Berry_Slim_SL_2_4_Nicotine_Pouches-NPO-APR_VEBE_SL_0044-2.jpg"
67046,"Arctic7 Spearmint","0","","SKU-ARCTIC7-SPEARMINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Arctic7_Spearmint_Slim_Wet_Extra_Strong_4_4_Nicotine_Pouches-5744000041414-2.jpg"
67049,"Arctic7 Ice Mint","0","","SKU-ARCTIC7-ICE-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Arctic7_Ice_Mint_Slim_Wet_Strong_3_4_Nicotine_Pouches-5744000041384-2.jpg"
67052,"Arctic7 Wild Berry","0","","SKU-ARCTIC7-WILD-BERRY","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Arctic7_Wild_Berry_Slim_Wet_Regular_2_4_Nicotine_Pouches-5744000041353-2.jpg"
67055,"Avant Caffe Mocha","0","","SKU-AVANT-CAFFE-MOCHA","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Avant_Caffe_Mocha_Slim_SL_4_4_Nicotine_Pouches-NPO-AVA_CAMO_SL_0078-2.jpg"
67058,"Avant Cool Ice Tea","0","","SKU-AVANT-COOL-ICE-TEA","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Avant_Cool_Ice_Tea_Slim_SL_2_4_Nicotine_Pouches-NPO-AVA_COIC_SL_0104-2.jpg"
67061,"Avant Cool Iced Apple","0","","SKU-AVANT-COOL-ICED-APPLE","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Avant_Cool_Iced_Apple_Slim_SL_1_4_Nicotine_Pouches-NPO-AVA_COAP_SL_0104-2.jpg"
67064,"Avant Cool Mint","0","","SKU-AVANT-COOL-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Avant_Cool_Mint_Slim_SL_4_4_Nicotine_Pouches-NPO-AVA_COMI_SL_0130-2.jpg"
67067,"Avant Frozen Berries","0","","SKU-AVANT-FROZEN-BERRIES","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Avant_Frozen_Berries_Slim_SL_1_4_Nicotine_Pouches-NPO-AVA_FRBE_SL_0104-2.jpg"
67070,"Avant Raspberry Liqorice","0","","SKU-AVANT-RASPBERRY-LIQORICE","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Avant_Raspberry_Liqorice_Slim_SL_2_4_Nicotine_Pouches-NPO-AVA_RALI_SL_0078-2.jpg"
67074,"BAGZ Arctic Freeze","0","","SKU-BAGZ-ARCTIC-FREEZE","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/BAGZ_Arctic_Freeze_Slim_SL_3_6_Nicotine_Pouches-NPO-BAG_ARFR_SL_0103-2.jpg"
67078,"BAGZ Berry Cool","0","","SKU-BAGZ-BERRY-COOL","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/BAGZ_Berry_Cool_Slim_SL_3_6_Nicotine_Pouches-NPO-BAG_BECO_SL_0110-2.jpg"
67082,"BAGZ Cola Max","0","","SKU-BAGZ-COLA-MAX","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/BAGZ_Cola_Max_Slim_SL_3_6_Nicotine_Pouches-NPO-BAG_COMA_SL_0113-2.jpg"
67086,"BAGZ Chilli Lime","0","","SKU-BAGZ-CHILLI-LIME","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/BAGZ_Chilli_Lime_Slim_SL_3_6_Nicotine_Pouches-NPO-BAG_CHLI_SL_0113-2.jpg"
67090,"BAGZ Fruit Punch","0","","SKU-BAGZ-FRUIT-PUNCH","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/BAGZ_Fruit_Punch_Slim_SL_3_6_Nicotine_Pouches-NPO-BAG_FRPU_SL_0113-2.jpg"
67094,"BAGZ Fizzy Orange","0","","SKU-BAGZ-FIZZY-ORANGE","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/BAGZ_Fizzy_Orange_Slim_SL_3_6_Nicotine_Pouches-NPO-BAG_FIOR_SL_0113-2.jpg"
67098,"BAGZ Mango Lassi","0","","SKU-BAGZ-MANGO-LASSI","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/BAGZ_Mango_Lassi_Slim_SL_3_6_Nicotine_Pouches-NPO-BAG_MALA_SL_0113-2.jpg"
67102,"BAGZ Mojito Lime","0","","SKU-BAGZ-MOJITO-LIME","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/BAGZ_Mojito_Lime_Slim_SL_3_6_Nicotine_Pouches-NPO-BAG_MOLI_SL_0110-2.jpg"
67106,"BAGZ Pink Melon Ice","0","","SKU-BAGZ-PINK-MELON-ICE","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/BAGZ_Pink_Melon_Ice_Slim_SL_3_6_Nicotine_Pouches-NPO-BAG_PIME_SL_0113-2.jpg"
67110,"BAGZ Power Mint","0","","SKU-BAGZ-POWER-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/BAGZ_Power_Mint_Slim_SL_3_6_Nicotine_Pouches-NPO-BAG_POMI_SL_0103-2.jpg"
67113,"BAOW Ice Mint","0","","SKU-BAOW-ICE-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/BAOW_Ice_Mint_Slim_SL_Nicotine_Pouches-NPO-BAO_ICMI_SL_0120-2.jpg"
67116,"BLOW Cool Mint","0","","SKU-BLOW-COOL-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/BLOW_Cool_Mint_Slim_SL_Nicotine_Pouches-NPO-BLO_COMI_SL_0090-2.jpg"
67119,"BLOW Guava","0","","SKU-BLOW-GUAVA","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/BLOW_Guava_Slim_SL_Nicotine_Pouches-NPO-BLO_GUAV_SL_0090-2.jpg"
67122,"BLOW Minty Lime","0","","SKU-BLOW-MINTY-LIME","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/BLOW_Minty_Lime_Slim_SL_Nicotine_Pouches-NPO-BLO_MILI_SL_0120-2.jpg"
67125,"Camo Cherry Cola Lime","0","","SKU-CAMO-CHERRY-COLA-LIME","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Camo_Cherry_Cola_Lime_Slim_SL_4_5_Nicotine_Pouches-NPO-CAM_CHCO_SL_0120-2.jpg"
67129,"Camo Orange Bubble Gum","0","","SKU-CAMO-ORANGE-BUBBLE-GUM","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Camo_Orange_Bubble_Gum_Slim_SL_2_5_Nicotine_Pouches-NPO-CAM_ORBU_SL_0060-2.jpg"
67133,"Camo Peppermint","0","","SKU-CAMO-PEPPERMINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Camo_Peppermint_Slim_SL_2_5_Nicotine_Pouches-NPO-CAM_PEPP_SL_0060-2.jpg"
67137,"Camo Spicy Citrus","0","","SKU-CAMO-SPICY-CITRUS","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Camo_Spicy_Citrus_Slim_SL_2_5_Nicotine_Pouches-NPO-CAM_SPCI_SL_0060-2.jpg"
67141,"Camo Wild Mint","0","","SKU-CAMO-WILD-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Camo_Wild_Mint_Slim_SL_2_5_Nicotine_Pouches-NPO-CAM_WIMI_SL_0060-2.jpg"
67144,"Chainpop Apple &amp; Cinnamon","0","","SKU-CHAINPOP-APPLE-AND-CINNAMON","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Chainpop_Apple_and_Cinnamon_Slim_SL_3_4_Nicotine_Pouches-NPO-CHA_APCI_SL_0090-2.jpg"
67147,"Chainpop Lychee &amp; Coconut","0","","SKU-CHAINPOP-LYCHEE-AND-COCONUT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Chainpop_Lychee_and_Coconut_Slim_SL_2_4_Nicotine_Pouches-NPO-CHA_LYCO_SL_0050-2.jpg"
67150,"Chainpop Peach &amp; Honey","0","","SKU-CHAINPOP-PEACH-AND-HONEY","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Chainpop_Peach_and_Honey_Slim_SL_3_4_Nicotine_Pouches-NPO-CHA_PEHO_SL_0090-2.jpg"
67153,"Chainpop Pomegranate &amp; Melon","0","","SKU-CHAINPOP-POMEGRANATE-AND-MELON","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Chainpop_Pomegranate_and_Melon_Slim_SL_3_4_Nicotine_Pouches-NPO-CHA_POME_SL_0090_b8567922-4f21-4f3a-a80a-a33f244d79ed-2.jpg"
67156,"Chainpop Raspberry &amp; Lemon","0","","SKU-CHAINPOP-RASPBERRY-AND-LEMON","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Chainpop_Raspberry_and_Lemon_Slim_SL_2_4_Nicotine_Pouches-NPO-CHA_RALE_SL_0050-2.jpg"
67159,"Chainpop Violet &amp; Cactus","0","","SKU-CHAINPOP-VIOLET-AND-CACTUS","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Chainpop_Violet_and_Cactus_Slim_SL_2_4_Nicotine_Pouches-NPO-CHA_VICA_SL_0050_47df11ca-05c2-4fd9-b158-2882db0ffca8-2.jpg"
67163,"Chapo Brutal Cold","0","","SKU-CHAPO-BRUTAL-COLD","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Chapo_Extreme_Brutal_Cold_Slim_Nicotine_Pouches-4748001019282-2.jpg"
67167,"Chapo Crystal Menthol","0","","SKU-CHAPO-CRYSTAL-MENTHOL","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Chapo_Extreme_Crystal_Menthol_Slim_Nicotine_Pouches-4748001022022.jpg"
67171,"Clew Coffee","0","","SKU-CLEW-COFFEE","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Clew_Coffee_Slim_SL_1_4_Nicotine_Pouches-NPO-CLE_COFF_SL_0050.jpg"
67175,"Clew Cool Mint","0","","SKU-CLEW-COOL-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Clew_Cool_Mint_Slim_SL_4_4_Nicotine_Pouches-NPO-CLE_COMI_SL_0050.jpg"
67179,"Clew Blueberry","0","","SKU-CLEW-BLUEBERRY","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Clew_Blueberry_Slim_SL_4_4_Nicotine_Pouches-NPO-CLE_BLUE_SL_0050.jpg"
67183,"Clew Menthol","0","","SKU-CLEW-MENTHOL","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Clew_Menthol_Slim_SL_4_4_Nicotine_Pouches-NPO-CLE_MENT_SL_0050.jpg"
67187,"Clew Watermelon","0","","SKU-CLEW-WATERMELON","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Clew_Watermelon_Slim_SL_6_6_Nicotine_Pouches-NPO-CLE_WATE_SL_0050.jpg"
67191,"Clew Spearmint","0","","SKU-CLEW-SPEARMINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Clew_Spearmint_Slim_SL_6_6_Nicotine_Pouches-NPO-CLE_SPEA_SL_0050.jpg"
67195,"Clew Wintergreen","0","","SKU-CLEW-WINTERGREEN","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Clew_Wintergreen_Slim_SL_1_4_Nicotine_Pouches-NPO-CLE_WINT_SL_0050.jpg"
67198,"Coco Blue Razz","0","","SKU-COCO-BLUE-RAZZ","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Coco_Blue_Razz_Slim_3_4_Nicotine_Pouches-5907625555715.jpg"
67201,"Coco Clean Peach","0","","SKU-COCO-CLEAN-PEACH","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Coco_Clean_Peach_Slim_3_4_Nicotine_Pouches-5907625555708.jpg"
67204,"Coco Mighty Fresh","0","","SKU-COCO-MIGHTY-FRESH","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Coco_Mighty_Fresh_Slim_4_4_Nicotine_Pouches-5907625555814.jpg"
67207,"Coco Mighty Colada","0","","SKU-COCO-MIGHTY-COLADA","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Coco_Mighty_Colada_Slim_4_4_Nicotine_Pouches-5907625555821.jpg"
67210,"Coco Mighty Lemonade","0","","SKU-COCO-MIGHTY-LEMONADE","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Coco_Mighty_Lemonade_Slim_4_4_Nicotine_Pouches-5907625555838.jpg"
67213,"Coco Mighty Mango","0","","SKU-COCO-MIGHTY-MANGO","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Coco_Mighty_Mango_Slim_4_4_Nicotine_Pouches-5907625555845.jpg"
67216,"Coco Tropical Mango","0","","SKU-COCO-TROPICAL-MANGO","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Coco_Tropical_Mango_Slim_3_4_Nicotine_Pouches-5907625555692.jpg"
67219,"Crown Mint","0","","SKU-CROWN-MINT","instock","null","https://gianna.templweb.com/wp-content/uploads/2025/09/Crown_Mint_Slim_3_4_Nicotine_Pouches-7649994723019.jpg"
